id,stem,option1,option2,option3,option4,option5,option6,answer1,answer2,answer1_base,answer2_base
651,"Although individual dust devils (small whirlwinds) on Mars are _______, collectively they can be counted on to maintain the atmospheric dust at a certain level.",dangerous,minuscule,unpredictable,impenetrable,treacherous,erratic,unpredictable,erratic,unpredictable,erratic
652,"Artists such as Jimi Jones reveal how _______ art categories really are: Jones successfully uses materials relatively foreign to the hegemonic concept of fine art while working in a style commonly associated with high culture.",fragmented,contrived,pervious,prescriptive,conventional,artificial,contrived,artificial,contrived,artificial
653,"While the politician promised that her speech would be full of fresh ideas, all she really offered was _______.",elucidations,bromides,recriminations,platitudes,affectations,hyperboles,bromides,platitudes,bromide,platitude
654,"Conditions at the training camp for runners were _______; few of the runners had proper shoes or a training kit.",unpleasant,tedious,spartan,austere,rigorous,monotonous,spartan,austere,spartan,austere
655,"Despite growing evidence of a positive association between consumption of whole grains and long-term health, a research gap exists between observational studies and the elucidation of the mechanisms involved, mechanisms that in some cases are still quite _______.",ineffective,speculative,unproductive,obscure,unsubstantiated,opaque,obscure,opaque,obscure,opaque
656,"By eating tiny organisms and incorporating their prey’s nutrients into their own bodies, large insects become nutrient packages for larger insectivores for whom the pursuit of tiny organisms would be _______.",unwieldy,insalubrious,unremunerative,unnecessary,inopportune,unprofitable,unremunerative,unprofitable,unremunerative,unprofitable
657,"Although streams of solar particles cause beautiful auroras—the northern and southern lights—sometimes their consequences are less _______: their electromagnetic effects, for instance, can overload power grids and damage orbiting satellites.",spectacular,significant,benign,consequential,innocuous,palpable,benign,innocuous,benign,innocuous
658,"Certainly, the drive to make safety a corporate priority is _______, but whether it will be enough to create the necessary change in corporate culture is another matter; organizational inertia can be a powerful force.",revolutionary,sound,critical,prudent,irresistible,inexorable,sound,prudent,sound,prudent
659,"In a time when so much new concert music failed to speak to listeners, the composer’s symphonies expressed with _______ wit and scorching emotional power the tragic history he lived through.",torpid,insouciant,patronizing,caustic,phlegmatic,stinging,caustic,stinging,caustic,stinging
660,"Interest in the recovery of lost works by Brazilian women writers is growing as scholars increasingly recognize writing by Brazilian women as inherently worth study, not as _______ writing by Brazilian men.",divergent from,ancillary to,interchangeable with,antithetical to,subsidiary to,complimentary to,ancillary to,subsidiary to,ancillary,subsidiary
661,"Recent research has shown that memories are not unchanging physical traces in the brain; instead, they are constructs that are _______, rebuilt every time they are recalled.",complex,intricate,fragile,malleable,ephemeral,pliable,malleable,pliable,malleable,pliable
662,"Technology does not have an inherently _______ effect on society; in fact, some technological advances have counteracted social changes that were reducing economic inequality.",leveling,pernicious,corrupting,beneficial,unsound,equalizing,leveling,equalizing,leveling,equalizing
663,"Tycho Brahe had assigned Kepler the task of deriving parameters for the model of Mars, a particularly _______ problem, which had stymied others because the large eccentricity of Mars exposed the inadequacies of the model itself.",novel,recalcitrant,intractable,crucial,profound,treacherous,recalcitrant,intractable,recalcitrant,intractable
664,"The geometry student struggled with the request to demonstrate the _______ proposition, feeling that, since opposite angles were self-evidently equal, there was no need for a proof.",patent,nebulous,arcane,manifest,illogical,plausible,patent,manifest,patent,manifest
665,"Because it has usually been impossible to eradicate exotic species once they have become established, it is _______ to minimize introductions of species that have substantial probabilities of unwanted impacts.",prudent,customary,provident,superfluous,essential,pointless,prudent,provident,prudent,provident
666,"A number of researchers have questioned the long-held assumption that decision making is _______, arguing instead that most behavior is relatively automatic.",calculable,deliberate,mechanical,predictable,contentious,calculated,deliberate,calculated,deliberate,calculated
667,"Eubank’s efforts to facilitate _______ between the two sides came to nothing but could be seen as an early blueprint for the historic agreement between the sides over ten years later.",an alliance,a rapprochement,a conversation,a reconciliation,an altercation,a quarrel,a rapprochement,a reconciliation,rapprochement,reconciliation
668,"Many types of rocks contain small voids that _______ vibrations: the greater the proportion of a rock’s volume that is void, the more gradually vibrations travel through it.",amplify,dampen,generate,impede,produce,deadened,dampen,impede,dampen,impede
669,"The landmasses that form our continents are notably _______: they are plates of rock continuously shifting around within the Earth’s crust, in movements that are not just horizontal but also vertical.",coordinated,dispersed,itinerant,ancient,peripatetic,scattered,itinerant,peripatetic,itinerant,peripatetic
670,"Deeply self-righteous, the artists defended their new aesthetic principles against a hidebound critical establishment whose mockery only reinforced the artists’ belief in the _______ of traditional aesthetics.",shortsightedness,fickleness,exhaustion,destructiveness,changeability,bankruptcy,exhaustion,bankruptcy,exhaustion,bankruptcy
671,"Evidence of the human brain’s _______ abounds: violinists, for example, tend to have larger cortical areas devoted to processing signals from their fingering hands than do non-violinists.",synchronicity,flexibility,complexity,malleability,vulnerability,sensitivity,flexibility,malleability,flexibility,malleability
672,"The playwright’s political activity on behalf of imprisoned artists finds its artistic analogue in her _______ toward her competitors in the theater, many of them in another kind of exile.",affability,indifference,generosity,optimism,magnanimity,apathy,generosity,magnanimity,generosity,magnanimity
673,"Personal computers have become so _______ that the use of digital evidence collected from them is now a common part of many criminal and civil investigations.",ubiquitous,sophisticated,affordable,convenient,elaborate,omnipresent,ubiquitous,omnipresent,ubiquitous,omnipresent
674,"Recent advances in the study of desert varnish have been a boon to geologists, allowing them to date surface features and establish regional climate histories in _______ detail.",novel,realistic,unprecedented,superfluous,extraneous,surprising,novel,unprecedented,novel,unprecedented
675,"At every turn in her novels, Patricia Highsmith eschews simple distinctions between good and evil, right and wrong, choosing instead to examine how _______ such distinctions can be.",plastic,palpable,parochial,arbitrary,concrete,malleable,plastic,malleable,plastic,malleable
676,"The proliferation of the zombie in contemporary popular culture is _______: from novels and comic books to video games and performance art, in smartphone applications and in homemade films zombies are ubiquitous.",mesmerizing,unprecedented,lamentable,disputable,deplorable,obvious,unprecedented,obvious,unprecedented,obvious
677,"Smil’s analysis of climate change is even more _______ than that supplied by most well-informed writers, and thus deserves serious consideration.",nuanced,unoriginal,complex,derivative,partisan,compelling,nuanced,complex,nuanced,complex
678,"Many readers are bemused to discover that Ella Wheeler Wilcox’s book Poems of Passion was thought to be _______ when it was published in 1883, as the book seems fairly innocuous.",scandalous,radical,unseemly,uninteresting,pedestrian,eccentric,scandalous,unseemly,scandalous,unseemly
679,"When Gustave Flaubert wrote a rabidly depressed letter to his friend George Sand, she responded with a maternal nudge; typical of their correspondence, she liked to pretend that his _______ was an affectation.",bravado,smugness,abjection,swagger,wretchedness,irascibility,abjection,wretchedness,abjection,wretchedness
680,"Although Wanda Coleman’s sonnets sometimes employ _______ word choices, they aptly bring to the fore a distinctly modern anxiety.",ambiguous,archaic,puzzling,surprising,fusty,disturbing,archaic,fusty,archaic,fusty
681,"Augustus, the first emperor of Rome, was celebrated for his moderation and temperate living, qualities that would distinguish him from so many of his _______ successors.",radical,sybaritic,tyrannical,hedonistic,despotic,dogmatic,sybaritic,hedonistic,sybaritic,hedonistic
682,"The bird-watchers’ _______ distinguishing personal interpretations from factual observations was a liability in their stated goal of obtaining objective information about the everyday behavior of ravens.",zeal for,exactness in,ineptitude at,maladroitness in,indifference toward,fervor for,ineptitude at,maladroitness in,ineptitude,maladroitness
683,"Although political debates supposedly exist to inform viewers about the candidates’ policy positions, these debates are often _______ by critics who see them as occasions for evasion and posturing.",ignored,evaluated,decried,maintained,disparaged,sustained,decried,disparaged,decry,disparage
684,"Leaders within the Native American culture known as Fort Ancient differed from those of the neighboring Mississippian groups, whose authority was often _______: indeed, one expert has described the Fort Ancient society as intensely egalitarian.",quixotic,dubious,uncertain,coercive,efficacious,imperious,coercive,imperious,coercive,imperious
685,"Scientists generally agree that causal inferences in well-designed experiments are more reliable than such inferences in purely observational contexts because most uncontrolled variables are _______ in the laboratory environment.",excluded,pronounced,exaggerated,overlooked,distorted,obviated,excluded,obviated,exclude,obviate
686,"To say that John Adams was forthright was to be _______; friends as well as enemies were more likely to characterize his stark honesty and direct manner as blunt and awkward.",fickle,charitable,facetious,unreasonable,forbearing,capricious,charitable,forbearing,charitable,forbearing
687,"The Chancellor castigated one regime for its mistreatment of political opponents, whereas he inexplicably _______ another that had committed similar acts.",adjured,exculpated,impugned,neglected,cosseted,absolved,exculpated,absolved,exculpate,absolve
688,"In order to justify a life spent wandering across some of the world’s farthest corners, travel writer Bruce Chatwin noted that humans are _______ by nature: there seems to be a roaming instinct embedded in our genes.",inquisitive,itinerant,peripatetic,gregarious,sociable,curious,itinerant,peripatetic,itinerant,peripatetic
689,"While Takaezu’s ceramic pieces are highly distinctive, her body of work as a whole can feel _______ to critics who wish to track it since she has never dated or conscientiously documented her creations.",edifying,nebulous,austere,anachronistic,instructive,amorphous,nebulous,amorphous,nebulous,amorphous
690,"A danger of writing urban history is the temptation to fall into the _______ and then to learn that only a rare few will be interested in reading your overly specialized account of lost times.",sensational,quixotic,provincial,impractical,subversive,parochial,provincial,parochial,provincial,parochial
691,"Over the past hundred years, numerous experiments on elementary particles have _______ the classical paradigm of a causal, deterministic universe by showing that some natural phenomena are truly random.",augmented,supported,upended,investigated,undermined,probed,upended,undermined,upend,undermine
692,"Concerned to upend the standard top-down approach to game design, Flanagan calls on game designers to _______ the typical model with one that is less hierarchical.",augment,supplant,assail,amplify,modify,replace,supplant,replace,supplant,replace
693,"Some species of the genus Daphnia (commonly known as water fleas) are phenotypically _______, altering their diurnal migration behavior and developing exaggerated morphological defenses in response to predators.",immutable,methodical,determinate,plastic,arbitrary,pliable,plastic,pliable,plastic,pliable
694,"Jimi Hendrix was a pivotal figure in the visionary aesthetic movement known as Afrofuturism, which is steeped in African American musical tradition yet _______ technological innovation, from synthesizers to spaceships.",circumspect about,indebted to,enthralled by,wary of,captivated by,heedful of,enthralled by,captivated by,enthralled,captivated
695,"While lunar geology may appear to be a relatively _______ area of planetary science, it is important to realize that the Moon’s surface and interior retain records that shed light on the histories of all terrestrial planets.",parochial,insignificant,narrow,new,straightforward,novel,parochial,narrow,parochial,narrow
696,"Frequently blamed for making _______ coverage decisions, insurance companies are eager to avoid additional bad press.",heartless,unfair,parsimonious,callous,definitive,conclusive,heartless,callous,heartless,callous
697,"Beauford Delaney’s dynamic depictions of Harlem and Greenwich Village, dating from 1929 to 1953, _______ the energy of the city, while the equally captivating abstract compositions from his Paris years of 1953 to 1979 demonstrate his sustained exploration of color.",authenticate,convey,elicit,impart,stifle,suppress,convey,impart,convey,impart
698,"While spectroscopy may be an obscure tool, there is nothing correspondingly _______ about claims concerning its importance: it proved that the rest of the universe is built from the same kinds of atoms as we are.",banal,arcane,esoteric,prosaic,equivocal,self-evident,arcane,esoteric,arcane,esoteric
699,"Most children overgeneralize the rule that to form a plural you add “s”—saying “foots,” for example, instead of “feet”—but they become grammatically more _______ as they get older.",exacting,succinct,adroit,playful,skillful,creative,adroit,skillful,adroit,skillful
700,"Despite their current reputation, the original Luddites were neither opposed to innovative technology nor _______ using it: many were highly skilled machine operators in the textile industry.",inept at,enamored of,resistant to,unequal to,enthralled by,unfazed by,inept at,unequal to,inept,unequal
701,"The author’s comparisons of Sontag’s work to that of Walter Benjamin are _______: while the former is admittedly an influential figure, the latter is undoubtedly one of the most important critics of his era.",overblown,inflated,engaging,misleading,revealing,apt,overblown,inflated,overblown,inflated
702,The author’s description of the _______ contamination of ocean water with plastic material—and resulting threat to marine life—constitutes a valuable lesson in the urgency of managing trash more responsibly than we currently do.,inadvertent,ubiquitous,perilous,pervasive,abating,diminishing,ubiquitous,pervasive,ubiquitous,pervasive
703,What Dr. Walther has shown is that many of the standard statistical techniques that are supposed to insure against _______ correlations are inadequate in this case.,numerical,specious,elementary,paltry,quantifiable,spurious,specious,spurious,specious,spurious
704,The team of physicists regarded the data as too _______ not to study with fresh eyes and fresh questions.,anomalous,singular,implausible,incidental,confounding,ancillary,anomalous,singular,anomalous,singular
705,"Taxonomy has gained a reputation as _______ science, a reputation that is not mitigated by the incessant changing of the names of organisms and the seemingly haphazard approach taken to the definition of taxa.",an arcane,an arbitrary,an exacting,a rigorous,an obstinate,a capricious,an arbitrary,a capricious,arbitrary,capricious
706,"As the global climate warms, some deserts, expanding to higher latitudes, are beginning to _______ fertile regions.",augment,endanger,destroy,displace,supplant,enrich,displace,supplant,displace,supplant
707,"The plays of Alice Childress (1916-1994) often present Black women in confrontations that rearrange what qualifies as _______ behavior: Childress’s heroines, for example, often question the social protocols limiting the content of public conversations.",conventional,normative,surreptitious,exemplary,altruistic,magnanimous,conventional,normative,conventional,normative
708,A glance at the night sky may suggest that the universe is _______: the tableau of stars seen last night appears virtually identical to the one that fascinated our ancestors thousands of years ago.,desolate,quiescent,boundless,infinite,invariant,static,invariant,static,invariant,static
709,"Because organisms can’t _______ sodium, as they can do with nitrogen, carbon, and phosphorus, they need external sources to replenish this vital element constantly.",incorporate,metamorphose,sequester,discharge,transform,warehouse,sequester,warehouse,sequester,warehouse
710,The appropriateness of _______ with those to whom one owes loyalty is evident in the Confucian view that rulers who are not living up to their roles should be urged to rectify their behavior.,commiserating,collaborating,negotiating,expostulating,sympathizing,remonstrating,expostulating,remonstrating,expostulate,remonstrate
711,"The dating of the prehistoric monument Stonehenge necessarily entails a great deal of speculation, with the result that several rather _______ chronologies have been proposed.",impenetrable,meticulous,disparate,inconsonant,confounding,apposite,disparate,inconsonant,disparate,inconsonant
712,"Williams argues that philosophy has become _______ occupation these days, and that it should rather be “part of a more general attempt to make the best sense of our life.”",a recondite,a challenging,an esoteric,an exacting,a salacious,an altruistic,a recondite,an esoteric,recondite,esoteric
713,"The writer’s expression of _______ sentiments in fluid, vigorous prose is a strange blending of the high and the low—like an opera performed by sloppily dressed, unkempt musicians.",patriotic,vile,noble,base,tender,lofty,vile,base,vile,base
714,"Researchers studying India’s monsoon weather have evaluated more than 100 years of rain gauge data; _______ such information, South American scientists are forced to reconstruct centuries of monsoon history by analyzing lake-bottom sediment cores.",verifying,lacking,utilizing,employing,wanting,confirming,lacking,wanting,lack,want
715,"The author’s point is not that people should be _______ science; he is careful to point out that what science is discovering about humans, for example, is certainly important and worthy of careful consideration.",skeptical toward,dismissive of,ignorant of,zealous regarding,scornful of,passionate about,dismissive of,scornful of,dismissive,scornful
716,"Land near Bangladesh’s coastal rivers is _______: temporary islands, or chars, form in the main river as sediments are deposited and then disappear during floods.",fecund,scant,ephemeral,exiguous,transitory,treacherous,ephemeral,transitory,ephemeral,transitory
717,"Some critics, noting the power of photographs to manipulate perceptions, _______ the photographer’s work for intentionally misrepresenting its subjects.",lambasted,exculpated,lauded,scrutinized,censured,shunned,lambasted,censured,lambast,censure
718,"Reading proved liberating for the young Frederick Douglass, since it _______ concepts and narratives that confirmed and illuminated his experiences.",provided,clarified,challenged,anticipated,furnished,summarized,provided,furnished,provide,furnish
719,Technological developments in the nineteenth century took longer to _______ than they do today: many of that century’s advances were known to scientists but not to average people.,occur,propagate,accelerate,multiply,spread,increase,propagate,spread,propagate,spread
720,"The scientific study of laughter faces a frustrating paradox: ideal experiments take place in rigidly controlled environments with all but the most salient variables eliminated, but such sterile settings are often _______ laughter.",inimical to,devoid of,subverted by,adverse to,replete with,rife with,inimical to,adverse to,inimical,adverse
721,"One of the incongruities of modern industry, according to Reck and Graedel, is that we manufacture modern products with the most sophisticated technologies available yet generally adopt relatively _______ approaches to recycling them.",economical,basic,crude,conventional,inefficient,inexpensive,basic,crude,basic,crude
722,The online discussion became so ferocious that some participants were reluctant to continue logging in for fear of being confronted with yet another _______.,platitude,harangue,rant,panegyric,eulogy,disquisition,harangue,rant,harangue,rant
723,"Because the country’s media are now operating freely and the electoral authorities have been changed, there should be no repeat of the _______ of last year’s election, when media coverage and vote counts were manipulated by the intelligence agency.",chicanery,blundering,ingenuousness,naïveté,vindictiveness,subterfuge,chicanery,subterfuge,chicanery,subterfuge
724,The number of recent interviews and television appearances suggests that the formerly _______ politician has done an about-face.,obdurate,taciturn,acerbic,reticent,loquacious,mordant,taciturn,reticent,taciturn,reticent
725,A strong basic science program can be _______: the rate of return on capital invested in basic science is about three times that of capital invested in applied research and development.,idealistic,remunerative,lucrative,transcendent,feasible,radical,remunerative,lucrative,remunerative,lucrative
726,"Though initially presented in a blaze of hyperbole, the thesis is stated more _______ in the ensuing paragraphs.",humbly,levelheadedly,pretentiously,convincingly,showily,soberly,levelheadedly,soberly,levelheaded,sober
727,"According to Peter Kwapong, rural Ghanaian farmers, despite regarding stingless bees as useful animals, by and large have not _______ the bees as economic resources.",recognized,discounted,exploited,utilized,monopolized,downplayed,exploited,utilized,exploit,utilize
728,"Mary Isin’s book on Turkish sweets is written in the celebratory mode, yet many of the chapters also have _______ quality since quite a few of the desserts she writes about have largely disappeared.",a mournful,an embittered,an elegiac,a pensive,a lackadaisical,a nonchalant,a mournful,an elegiac,mournful,elegiac
729,"While the _______ of reliable sources in later narratives makes many details of the early history of China’s Zhou dynasty unverifiable, the Zhou rulers’ successful rise to power is certain.",dearth,ambiguity,paucity,opacity,authenticity,credibility,dearth,paucity,dearth,paucity
730,"In modern agriculture, crop growth and crop protection can be viewed as _______ processes: by encouraging rapid growth with generous fertilizer treatments we may in some cases unintentionally reduce the ability of plants to defend themselves.",reciprocal,autonomous,competing,harmful,antagonistic,independent,competing,antagonistic,competing,antagonistic
731,"Although collisions between the largest planetesimals in a planetesimal belt are _______, they can release large amounts of debris when they occur.",risky,exceptional,irregular,violent,rare,powerful,exceptional,rare,exceptional,rare
732,The _______ markings on some prehistoric bone and antler fragments could be accidents or the result of doodling but may also represent a form of communication such as tally marks or even early calendars.,purposeful,enigmatic,random,inscrutable,conspicuous,deliberate,enigmatic,inscrutable,enigmatic,inscrutable
733,"A recent discussion on biological development promotes “organicism” as a scientifically _______ view, one which the authors quickly distinguish from the dubious and metaphysically laden “vitalism”.",productive,unambiguous,tenable,suspect,feasible,questionable,tenable,feasible,tenable,feasible
734,"In her study of the composer, Fiona Richards fearlessly digs into biographical details, avoiding the _______ found in the work of other, more circumspect biographers.",hagiography,vacillation,muckraking,scandalmongering,forbearance,equivocation,vacillation,equivocation,vacillation,equivocation
735,"Automated text-matching and plagiarism-detection services must be _______ human expertise: machines alone cannot detect plagiarism of ideas, that is, expressing someone else’s idea in one’s own words.",developed by,supplemented with,resistant to,augmented by,impenetrable to,compatible with,supplemented with,augmented by,supplement,augment
736,"The 1966 Mexican art exhibition “Confrontation 66” seemed to define the Mexican art world as one in which political alignment was _______, yet painter Joy Laville rose to prominence with paintings devoid of contentiousness.",inconsequential,ineluctable,requisite,perilous,pointless,obligatory,ineluctable,requisite,ineluctable,requisite
737,"Just as the short strings of a violin cannot produce the deep, long-wavelength notes of a double bass, so photons—which are vibrations not of strings but of electromagnetic fields—are _______ by the physical characteristics of objects that conduct electricity.",conveyed,bound,amplified,thwarted,transmitted,circumscribed,bound,circumscribed,bound,circumscribed
738,"In medieval China, the Confucian emphasis on rites as an outward manifestation of virtue explains Chinese bureaucrats’ _______ the accurate performance of tributary rituals by foreigners at the imperial court.",ambivalence toward,preoccupation with,proficiency with,obsession with,regard for,anticipation of,preoccupation with,obsession with,preoccupation,obsession
739,"The breathless pace of the Broadway adaptation of Alice Walker’s The Color Purple was _______, given the adaptation’s determination to cram in so many of the incidents that appear in the original source.",unremarkable,inevitable,surprising,excessive,unavoidable,unexpected,inevitable,unavoidable,inevitable,unavoidable
740,"The big bang is actually a relatively _______ idea, scientifically speaking; just a few decades ago, the big bang would have been hotly contested, and a few decades before that, it hadn’t even been considered.",novel,straightforward,controversial,recent,contentious,uncomplicated,novel,recent,novel,recent
741,The author illustrates her book about mid-nineteenth-century Paris with photographs revealing the _______ conditions that prevailed in the city: sewage can be seen draining onto streets lined with crumbling buildings.,dreary,ambiguous,obscure,noxious,ramshackle,insalubrious,noxious,insalubrious,noxious,insalubrious
742,"“Revolutionary” and “unique” are words that have become _______: every century in human history is described as unique, and every year, somewhere in the world, some event is characterized as revolutionary.",overused,interchangeable,confused,distorted,trite,contentious,overused,trite,overused,trite
743,So great is the reputation of the artist Gilbert Stuart (1755-1828) for _______ that some modern specialists routinely discount assertions that he made in correspondence with owners of his paintings.,self-aggrandizement,parsimony,opportunism,dissembling,mendacity,miserliness,dissembling,mendacity,dissembling,mendacity
744,"In the 1990s, the limited color palette of display screens was _______: the electronics industry, working through a United Nations agency, adopted a worldwide standard color gamut that all televisions should be able to display.",codified,encrypted,enforced,expanded,formalized,denounced,codified,formalized,codify,formalize
745,"Researchers who study pollinator behavior are increasingly interested in multicomponent floral signals, but they often focus on how individual components are learned by pollinators rather than on the benefit of signal _______ per se.",complexity,stability,intensity,variation,intricacy,diversity,complexity,intricacy,complexity,intricacy
746,"Herodotus is not _______ concerning some of the more fantastic stories related in his History: as he repeatedly observes, “I must tell what is said, but I am not at all bound to believe it.”",credulous,loquacious,gullible,arrogant,ignoble,voluble,credulous,gullible,credulous,gullible
747,"Aboriginal people of Victoria, Australia, neither rejected Western material culture nor demonstrated an obsession with it; in fact, Western artifacts such as pipes and handkerchiefs were appreciated for their symbolic rather than their _______ value.",utilitarian,intrinsic,communicative,aesthetic,pragmatic,theoretical,utilitarian,pragmatic,utilitarian,pragmatic
748,"That the announcement of the new treatment was greeted with _______ is hardly surprising given the claims made for it, but attitudes were markedly tempered once the paucity of supporting data became apparent.",skepticism,disbelief,euphoria,optimism,impatience,jubilation,euphoria,jubilation,euphoria,jubilation
749,"The adipose tissue in which our bodies store fat from the food we eat has traditionally been thought of as _______, but in reality this tissue constitutes a dynamic organ, not a mere repository.",capacious,deleterious,inert,detrimental,passive,inessential,inert,passive,inert,passive
750,"Campbell argues that because life takes eons to get started, habitability of extrasolar planets isn’t solely determined by the balance of temperature and chemicals; it also depends on the _______ of these factors.",intensity,stability,makeup,volatility,harmony,persistence,stability,persistence,stability,persistence
751,"Even though it is generally accepted that some features of water clocks came to be incorporated in mechanical clocks, insufficient attention has been paid to precisely how mechanical clocks _______ water clocks.",existed with,occurred with,derived from,superseded,influenced,stemmed from,derived from,stemmed from,derive,stem
752,"The author argues that by setting the agenda, constraining the issues discussed, and crafting “talking points,” political elites are ultimately able to _______ the choices available to voters.",explicate,obfuscate,demarcate,multiply,widen,circumscribe,demarcate,circumscribe,demarcate,circumscribe
753,"Unlike many artists, who made multiple impressions of the same image to sell and make more money, Mary Cassatt often reworked an image on different plates, as if most fascinated by the process of _______.",repetition,revision,comparison,reversal,reproduction,modification,revision,modification,revision,modification
754,"Because there has been such a _______ of information about Jorge Luis Borges’ personal life, it is easy to understand the eager excitement generated by Borges, a selection from the diaries of his closest friend.",stream,glut,paucity,dearth,surfeit,tangle,paucity,dearth,paucity,dearth
755,"At public appearances the leader was remarkably taciturn, typically making _______ observations before turning the floor over to a colleague.",trite,insightful,inflammatory,shrewd,perfunctory,brief,perfunctory,brief,perfunctory,brief
756,"Since beavers rely on auditory signals such as the tail slap and whining and hissing, we can infer that their hearing is _______, although we don’t know the exact sensitivity and performance of their acoustical sense.",functional,keen,serviceable,precise,adaptable,malleable,functional,serviceable,functional,serviceable
757,"Charles Dickens is a notoriously _______ figure for biographers: as Claire Tomalin writes in her book on him, “Everyone finds their own version of Charles Dickens.”",attractive,slippery,sacrosanct,distasteful,unpalatable,elusive,slippery,elusive,slippery,elusive
758,Examination of eighteenth-century correspondence from colonial Pennsylvania reveals that men generally sent love letters to the friends and family of the women they _______ rather than to the women themselves.,coveted,courted,married,cast off,flirted with,wooed,courted,wooed,court,woo
759,"Sheila refused to patronize all-you-can-eat restaurants, for she felt that enjoying them required a certain _______ of which she disapproved.",voraciousness,frugality,parsimony,disingenuousness,insatiability,abstinence,voraciousness,insatiability,voraciousness,insatiability
760,"Veins of copper ore can be quarried from Earth’s surface, but deeper extraction requires ever more bedrock to be excavated in proportion to ore, so that such a procedure becomes increasingly _______ for mining companies.",pointless,protracted,lucrative,complicated,rewarding,impracticable,pointless,impracticable,pointless,impracticable
761,"Given that Mr. Harris was obviously sophisticated and worldly, his failure to do well in the position can hardly be ascribed to _______.",sloth,callowness,indifference,naïveté,indolence,incompetence,callowness,naïveté,callowness,naïveté
762,The reliable production of usable energy through the controlled fusion of hydrogen atoms into helium remains an elusive dream: even the most ardent efforts to achieve it have thus far been _______.,concealed,debated,thwarted,maligned,veiled,frustrated,thwarted,frustrated,thwart,frustrate
763,"To describe as unrewarding a book so diligently researched and painstakingly thorough would, at first glance, seem _______.",churlish,silly,banal,ungracious,coldhearted,cliched,churlish,ungracious,churlish,ungracious
764,Egler’s prediction in 1947 that the introduction of mangrove trees to the Hawaiian Islands would cause sweeping ecological change was _______: extensive mangrove forests have come to displace many preexisting plant communities.,accurate,premature,prescient,foresighted,optimistic,precipitate,prescient,foresighted,prescient,foresighted
765,"Some zoo animals—cheetahs, pandas, and black rhinos, for instance—are reluctant to breed in captivity, while others are too _______, creating a problem for zoos when there is no more room in the cage.",fertile,wild,fecund,untamed,docile,precocious,fertile,fecund,fertile,fecund
766,"Building the first United States transcontinental phone line required fundamental innovations: for example, engineers created an amplifier for the electric signals to prevent them from _______ after a few miles.",propagating,attenuating,dissipating,iterating,deviating,proliferating,attenuating,dissipating,attenuate,dissipate
767,"Early natural history collections in eighteenth-century Europe were _______: a bear’s tooth might sit incongruously alongside a piece of silverwork or, in the menagerie, a South American capybara might be housed next to an African baboon.",painstakingly arranged,impressively comprehensive,meticulously organized,highly exotic,fundamentally miscellaneous,thoroughly eclectic,fundamentally miscellaneous,thoroughly eclectic,miscellaneous,eclectic
768,"Despite the long history of data collection on species diversity, there is a _______ of usable data.",surfeit,wealth,variety,diminution,dearth,paucity,dearth,paucity,dearth,paucity
769,"Motorcycle riders in London have discovered an ingenious, albeit _______ way of parking illegally without getting a ticket.",inventive,unscrupulous,astute,dishonest,impractical,shrewd,unscrupulous,dishonest,unscrupulous,dishonest
770,"Like his fellow _______ covering the campaign tour, who rarely had the luxury of spending more than one night in one place, Tony had his bags packed well before the evening fund-raiser.",roisterers,itinerants,peripatetics,carousers,oracles,inquisitors,itinerants,peripatetics,itinerant,peripatetic
771,"The painter Fu Baoshi lived and worked through a tumultuous period in Chinese history, _______ by exceptional talent and a steely dedication to his art.",galvanized,buoyed,redeemed,marked,sustained,scarred,buoyed,sustained,buoy,sustain
772,"Vast, complex, and deeply entrenched, the administrative apparatus that answered to Egypt’s Queen Cleopatra was _______ instrument with which to govern.",an antiquated,an efficient,a modest,a simple,an unwieldy,a cumbersome,an unwieldy,a cumbersome,unwieldy,cumbersome
773,"Piersma and Gill suggest that bar-tailed godwits—long-billed shorebirds of the Eurasian and Alaskan tundra—rank among the most _______ of the long-range fliers, traveling 11,000 kilometers nonstop across the Pacific.",unpredictable,versatile,erratic,unflagging,renowned,indefatigable,unflagging,indefatigable,unflagging,indefatigable
774,Weak monsoon rainfall was responsible for the blackouts that cut power to half of the country because the resulting _______ of water reduced the amount of electric power produced by the country’s hydroelectric dams.,allocation,contamination,influx,dearth,surfeit,paucity,dearth,paucity,dearth,paucity
775,"In hindsight, it is easy to say that the geological evidence for ice ages was _______ and to wonder why such periods in the Earth’s past were not recognized earlier.",accessible,overwhelming,emerging,irresistible,intriguing,tenuous,overwhelming,irresistible,overwhelming,irresistible
776,"The Federal Reserve Bank is one of the most _______ institutions in the United States, yet many are not aware of the important operations and activities it has carried out during its lifetime.",distinguished,secretive,consequential,indispensable,misunderstood,mysterious,distinguished,consequential,distinguished,consequential
777,"The news business has never been _______; like so many other businesses, it is protean in nature.",reputable,respectable,profitable,stable,conventional,static,stable,static,stable,static
778,"The importance of the notion of surface in nanoscience and nanotechnology cannot be _______: in nanomaterials, in fact, surface phenomena rather than mass properties govern the chemical and biological behavior of objects.",overstated,dismissed,comprehended,exaggerated,intuited,verified,overstated,exaggerated,overstate,exaggerate
779,"Biographies can be _______ contrivances, often too long and too detailed for their own good.",subtle,ingenious,extravagant,vain,wearisome,onerous,wearisome,onerous,wearisome,onerous
